,0
857,1.0791172
858,1.1558642
859,0.46375
860,0.84090054
861,1.0667739
862,0.8358251
863,0.8016143
864,0.44818977
865,1.0564997
866,0.904531
867,0.89184344
868,1.0105964
869,0.41334894
870,0.3389047
871,0.38350448
872,0.33956134
873,0.1754386
874,0.37662336
875,0.22809279
876,0.47561365
877,0.51483494
878,1.1500701
879,0.9904883
880,0.9785383
881,1.0205183
882,1.204023
883,1.1379076
884,0.9656958
885,0.9997969
886,0.7080816
887,0.7589099
888,0.40222034
889,0.84501845
890,0.47834188
891,0.5841772
892,0.7816265
893,0.67461264
894,0.24160206
895,0.7952522
896,0.6494396
897,0.9209651
898,0.8287841
899,0.76389503
900,0.5637019
901,0.30926663
902,0.74147415
903,0.35767022
904,0.7926407
905,0.5488632
906,0.70131576
907,0.56027293
908,0.9647979
909,2.1987247
910,0.57581896
911,0.8438914
912,1.4594368
913,0.8707089
914,0.5998177
915,0.7927835
916,0.5915493
917,1.0029747
918,0.582086
919,0.80246913
920,0.73246026
921,0.6443158
922,0.4441512
923,0.6258656
924,0.57280576
925,0.51656324
926,0.57019436
927,0.5968043
928,0.5091743
929,0.4041481
930,0.54963976
931,0.47321817
932,0.6740214
933,0.79818475
934,0.71875614
935,0.04067971
936,0.3856569
937,0.49528658
938,0.7161475
939,0.6289919
940,0.74236524
941,0.5015466
942,0.6773411
943,0.44377488
944,0.89993596
945,0.6799149
946,0.73005354
947,0.7849117
948,0.5031687
949,0.416213
950,0.76456374
951,0.76815444
952,0.7273584
953,0.72953737
954,0.7660639
955,0.53778934
956,0.7071467
957,0.6761551
958,0.40214196
959,0.7700697
960,1.409786
961,0.79853064
962,0.5583715
963,0.57352746
964,0.73603565
965,0.7207323
966,0.72551656
967,0.7925788
968,0.49464184
969,0.7563429
970,0.8141887
971,0.6142874
972,1.1150296
973,1.1838236
974,0.999089
975,0.8115047
976,0.5606439
977,0.8147657
978,0.6893494
979,0.7866967
980,0.33892214
981,0.7209302
982,0.8733753
983,0.4330626
984,0.93328667
985,1.0260623
986,0.70108026
987,0.51972574
988,0.5487333
989,0.5324469
990,1.116697
991,0.9665254
992,0.83651227
993,0.64383173
994,0.61766535
995,0.6444539
996,0.67296815
997,0.68003994
998,0.6838747
999,0.55345774
1000,0.4382982
1001,0.78399676
1002,0.7428489
1003,0.62842894
1004,0.59694475
1005,0.7110594
1006,0.78567016
1007,0.58447105
1008,0.82173485
1009,0.61356044
1010,0.48951048
1011,0.76589596
1012,1.0253264
1013,0.50567675
1014,0.7681499
1015,0.5044001
1016,0.97571075
1017,0.4913284
1018,0.5993132
1019,0.60651207
1020,0.8519924
1021,1.2562206
1022,0.806205
1023,1.0899116
1024,0.7122828
1025,0.78663886
1026,0.71668345
1027,0.79897064
1028,0.68766695
1029,0.54081726
1030,0.7726375
1031,0.64633435
1032,0.8694849
1033,0.9616404
1034,0.7352342
1035,0.35956466
1036,0.6872835
1037,0.67316985
1038,0.7487363
1039,0.41249698
1040,0.5975898
1041,0.81165373
1042,0.83159775
1043,0.7572781
1044,0.7121483
1045,0.6977672
1046,0.67926073
1047,0.55775183
1048,0.629759
1049,0.5943976
1050,0.65141076
